INFO  - 2014-09-16 00:29:12.161; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/project/solr-4.5.1/contrib/extraction/lib/xz-1.0.jar' to classloader
WARN  - 2014-09-16 00:29:12.163; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: C:\project\solr_home\collection1\..\..\..\contrib\extraction\lib).
WARN  - 2014-09-16 00:29:12.165; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: C:\project\solr_home\collection1\..\..\..\dist).
WARN  - 2014-09-16 00:29:12.165; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: C:\project\solr_home\collection1\..\..\..\contrib\clustering\lib).
WARN  - 2014-09-16 00:29:12.166; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: C:\project\solr_home\collection1\..\..\..\dist).
WARN  - 2014-09-16 00:29:12.167; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: C:\project\solr_home\collection1\..\..\..\contrib\langid\lib).
WARN  - 2014-09-16 00:29:12.168; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: C:\project\solr_home\collection1\..\..\..\dist).
WARN  - 2014-09-16 00:29:12.169; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: C:\project\solr_home\collection1\..\..\..\contrib\velocity\lib).
WARN  - 2014-09-16 00:29:12.170; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: C:\project\solr_home\collection1\..\..\..\dist).
INFO  - 2014-09-16 00:29:12.429; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-09-16 00:29:12.437; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_45
INFO  - 2014-09-16 00:29:12.590; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-09-16 00:29:12.599; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-09-16 00:29:12.667; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-09-16 00:29:13.408; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-09-16 00:29:13.524; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-16 00:29:13.532; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-16 00:29:13.691; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-09-16 00:29:13.702; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at C:\project\solr_home\collection1\, dataDir=C:/project/solr_home/data\
INFO  - 2014-09-16 00:29:13.705; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@6815a68d
INFO  - 2014-09-16 00:29:13.743; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-09-16 00:29:13.743; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-09-16 00:29:13.767; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\project\solr_home\data
INFO  - 2014-09-16 00:29:13.768; org.apache.solr.core.SolrCore; New index directory detected: old=null new=C:/project/solr_home/data\index/
WARN  - 2014-09-16 00:29:13.768; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'C:\project\solr_home\data\index' doesn't exist. Creating new index...
