INFO  - 2014-09-27 21:28:03.303; org.apache.solr.core.CachingDirectoryFactory; return new directory for C:\project\solr-4.5.1\example\solr\collection1\data\index
INFO  - 2014-09-27 21:28:03.349; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.MMapDirectory@C:\project\solr-4.5.1\example\solr\collection1\data\index lockFactory=org.apache.lucene.store.NativeFSLockFactory@19eeb098; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-09-27 21:28:03.350; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-09-27 21:28:03.354; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-09-27 21:28:03.354; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-09-27 21:28:03.355; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-09-27 21:28:03.359; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-09-27 21:28:03.359; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-09-27 21:28:03.450; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-09-27 21:28:03.460; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-09-27 21:28:03.461; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-09-27 21:28:03.464; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-09-27 21:28:03.464; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2014-09-27 21:28:03.467; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-09-27 21:28:03.471; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
INFO  - 2014-09-27 21:28:03.473; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2014-09-27 21:28:03.473; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-09-27 21:28:03.474; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
